Round, Active Player, Color, Chesspiece, X, Y
1, 1, black, BP_Knight0, 7, 6
1, 0, black, BP_Knight0, 7, 6
1, 0, white, BP_Pawn0, 2, 2
2, 1, black, BP_Knight0, 5, 5
2, 1, white, BP_Pawn0, 2, 2
2, 0, black, BP_Knight0, 5, 5
2, 0, white, BP_Pawn0, 3, 2
3, 1, black, BP_Knight0, 7, 4
3, 1, white, BP_Pawn0, 3, 2
3, 0, black, BP_Knight0, 7, 4
3, 0, white, BP_Pawn0, 4, 2
4, 1, black, BP_Knight0, 6, 6
4, 1, white, BP_Pawn0, 4, 2
4, 0, black, BP_Knight0, 6, 6
4, 0, white, BP_Pawn0, 4, 2
4, 0, white, BP_Bishop0, 2, 6
5, 1, black, BP_Knight0, 5, 4
5, 1, white, BP_Pawn0, 4, 2
5, 1, white, BP_Bishop0, 2, 6
5, 0, black, BP_Knight0, 5, 4
5, 0, white, BP_Pawn0, 4, 2
5, 0, white, BP_Bishop0, 4, 4
