Round, Active Player, Color, Chesspiece, X, Y
1, 0, white, BP_Pawn_C_0, 2, 4
1, 1, white, BP_Pawn_C_0, 2, 4
1, 1, black, BP_Knight_C_0, 7, 7
2, 0, white, BP_Pawn_C_0, 2, 4
2, 0, black, BP_Knight_C_0, 7, 7
2, 0, white, BP_Knight_C_1, 1, 8
2, 1, white, BP_Pawn_C_0, 2, 4
2, 1, black, BP_Knight_C_0, 6, 5
2, 1, white, BP_Knight_C_1, 1, 8
3, 0, white, BP_Pawn_C_0, 2, 4
3, 0, black, BP_Knight_C_0, 6, 5
3, 0, white, BP_Knight_C_1, 3, 7
3, 1, white, BP_Pawn_C_0, 2, 4
3, 1, black, BP_Knight_C_0, 4, 6
3, 1, white, BP_Knight_C_1, 3, 7
4, 0, white, BP_Pawn_C_0, 2, 4
4, 0, black, BP_Knight_C_0, 4, 6
4, 0, white, BP_Knight_C_1, 5, 8
4, 1, white, BP_Pawn_C_0, 2, 4
4, 1, black, BP_Knight_C_0, 5, 8
5, 0, white, BP_Pawn_C_0, 3, 4
5, 0, black, BP_Knight_C_0, 5, 8
5, 1, white, BP_Pawn_C_0, 3, 4
5, 1, black, BP_Knight_C_0, 5, 8
5, 1, black, BP_Bishop_C_0, 7, 6
6, 0, white, BP_Pawn_C_0, 4, 4
6, 0, black, BP_Knight_C_0, 5, 8
6, 0, black, BP_Bishop_C_0, 7, 6
6, 1, white, BP_Pawn_C_0, 4, 4
6, 1, black, BP_Knight_C_0, 5, 8
6, 1, black, BP_Bishop_C_0, 5, 4
7, 0, white, BP_Pawn_C_0, 4, 4
7, 0, black, BP_Knight_C_0, 5, 8
7, 0, black, BP_Bishop_C_0, 5, 4
7, 0, white, BP_Knight_C_2, 2, 6
7, 1, white, BP_Pawn_C_0, 4, 4
7, 1, black, BP_Knight_C_0, 5, 8
7, 1, black, BP_Bishop_C_0, 4, 5
7, 1, white, BP_Knight_C_2, 2, 6
8, 0, white, BP_Pawn_C_0, 4, 4
8, 0, black, BP_Knight_C_0, 5, 8
8, 0, white, BP_Knight_C_2, 4, 5
8, 1, white, BP_Pawn_C_0, 4, 4
8, 1, black, BP_Knight_C_0, 4, 6
8, 1, white, BP_Knight_C_2, 4, 5
