Round, Active Player, Color, Chesspiece, X, Y
1, 1, black, BP_Knight0, 7, 5
1, 0, black, BP_Knight0, 7, 5
1, 0, white, BP_Pawn0, 2, 3
2, 1, black, BP_Knight0, 7, 5
2, 1, white, BP_Pawn0, 2, 3
2, 1, black, BP_Pawn1, 7, 2
2, 0, black, BP_Knight0, 7, 5
2, 0, white, BP_Pawn0, 3, 3
2, 0, black, BP_Pawn1, 7, 2
3, 1, black, BP_Knight0, 5, 4
3, 1, white, BP_Pawn0, 3, 3
3, 1, black, BP_Pawn1, 7, 2
3, 0, black, BP_Knight0, 5, 4
3, 0, white, BP_Pawn0, 3, 3
3, 0, black, BP_Pawn1, 7, 2
3, 0, white, BP_Knight1, 2, 7
4, 1, black, BP_Knight0, 5, 4
4, 1, white, BP_Pawn0, 3, 3
4, 1, black, BP_Pawn1, 7, 2
4, 1, white, BP_Knight1, 2, 7
4, 1, black, BP_Pawn2, 7, 7
4, 0, black, BP_Knight0, 5, 4
4, 0, white, BP_Pawn0, 3, 3
4, 0, black, BP_Pawn1, 7, 2
4, 0, white, BP_Knight1, 4, 6
4, 0, black, BP_Pawn2, 7, 7
5, 1, black, BP_Knight0, 4, 6
5, 1, white, BP_Pawn0, 3, 3
5, 1, black, BP_Pawn1, 7, 2
5, 1, black, BP_Pawn2, 7, 7
5, 0, black, BP_Knight0, 4, 6
5, 0, white, BP_Pawn0, 4, 3
5, 0, black, BP_Pawn1, 7, 2
5, 0, black, BP_Pawn2, 7, 7
